Title,ArtistName
this is america,childish gambino
nice for what,drake
god's plan,drake
psycho,post malone featuring ty dolla $ign
meant to be,bebe rexha & florida georgia line
the middle,zedd, maren morris & grey
no tears left to cry,ariana grande
look alive,blocboy jb featuring drake
never be the same,camila cabello
perfect,ed sheeran
boo'd up,ella mai
walk it talk it,migos featuring drake
freaky friday,lil dicky featuring chris brown
whatever it takes,imagine dragons
heaven,kane brown
friends,marshmello & anne-marie
mine,bazzi
pray for me,the weeknd & kendrick lamar
rockstar,post malone featuring 21 savage
in my blood,shawn mendes
i like it,cardi b, bad bunny & j balvin
plug walk,rich the kid
be careful,cardi b
havana,camila cabello featuring young thug
wait,maroon 5
better now,post malone
sad!,xxxtentacion
new rules,dua lipa
chun-li,nicki minaj
finesse,bruno mars & cardi b
powerglide,rae sremmurd & juicy j
call out my name,the weeknd
all the stars,kendrick lamar & sza
you make it easy,jason aldean
one number away,luke combs
delicate,taylor swift
ric flair drip,offset & metro boomin
te bote,casper magico, nio garcia, darell, nicky jam, ozuna & bad bunny
one kiss,calvin harris & dua lipa
japan,famous dex
x,nicky jam x j balvin
watch,travis scott featuring lil uzi vert & kanye west
dura,daddy yankee
stir fry,migos
kod,j. cole
shoota,playboi carti featuring lil uzi vert
love lies,khalid & normani
tequila,dan + shay
yes indeed,lil baby & drake
back to you,selena gomez
ball for me,post malone featuring nicki minaj
overdose,youngboy never broke again
done for me,charlie puth featuring kehlani
paranoid,post malone
rich & sad,post malone
king's dead,jay rock, kendrick lamar, future & james blake
dame tu cosita,pitbull x el chombo x karol g featuring cutty ranks
esskeetit,lil pump
idgaf,dua lipa
spoil my night,post malone featuring swae lee
i like me better,lauv
up down,morgan wallen featuring florida georgia line
atm,j. cole
get along,kenny chesney
stay,post malone
otw,khalid, ty dolla $ign & 6lack
no excuses,meghan trainor
kevin's heart,j. cole
drip,cardi b featuring migos
i lived it,blake shelton
for the first time,darius rucker
sit next to me,foster the people
new freezer,rich the kid featuring kendrick lamar
lucid dreams,juice wrld
most people are good,luke bryan
zombie,bad wolves
me niego,reik featuring ozuna & wisin
woman  amen,dierks bentley
gucci flip flops,bhad bhabie featuring lil yachty
outside today,youngboy never broke again
everyday,logic & marshmello
everything's gonna be alright,david lee murphy & kenny chesney
singles you up,jordan davis
alone,halsey featuring big sean & stefflon don
sativa,jhene aiko featuring swae lee or rae sremmurd
mercy,brett young
red roses,lil skies featuring landon cube
moonlight,xxxtentacion
over now,post malone
zack and codeine,post malone
lust,lil skies
all girls are the same,juice wrld
same bitches,post malone featuring g-eazy & yg
when we,tank
cry pretty,carrie underwood
el farsante,ozuna & romeo santos
takin' shots,post malone
92 explorer,post malone
beautiful crazy,luke combs
say something,justin timberlake featuring chris stapleton
harlem shake,baauer
thrift shop,macklemore & ryan lewis featuring wanz
when i was your man,bruno mars
i knew you were trouble.,taylor swift
stay,rihanna featuring mikky ekko
started from the bottom,drake
scream & shout,will.i.am & britney spears
suit & tie,justin timberlake featuring jay z
locked out of heaven,bruno mars
don't you worry child,swedish house mafia featuring john martin
love me,lil wayne featuring drake & future
heart attack,demi lovato
ho hey,the lumineers
daylight,maroon 5
f**kin problems,a$ap rocky featuring drake, 2 chainz & kendrick lamar
sweet nothing,calvin harris featuring florence welch
girl on fire,alicia keys featuring nicki minaj
feel this moment,pitbull featuring christina aguilera
i will wait,mumford & sons
radioactive,imagine dragons
pour it up,rihanna
it's time,imagine dragons
catch my breath,kelly clarkson
beauty and a beat,justin bieber featuring nicki minaj
try,p!nk
poetic justice,kendrick lamar featuring drake
gangnam style,psy
little talks,of monsters and men
sure be cool if you did,blake shelton
sail,awolnation
carry on,fun.
diamonds,rihanna
skyfall,adele
troublemaker,olly murs featuring flo rida
one more night,maroon 5
home,phillip phillips
hall of fame,the script featuring will.i.am
some nights,fun.
wanted,hunter hayes
all gold everything,trinidad james
c'mon,ke$ha
adorn,miguel
better dig two,the band perry
one way or another (teenage kicks),one direction
one of those nights,tim mcgraw
two black cadillacs,carrie underwood
just give me a reason,p!nk featuring nate ruess
swimming pools (drank),kendrick lamar
kiss you,one direction
downtown,lady antebellum
mama's broken heart,miranda lambert
i'm different,2 chainz
i drive your truck,lee brice
tornado,little big town
my songs know what you did in the dark (light em up),fall out boy
get your shine on,florida georgia line
loveeeeeee song,rihanna featuring future
hey porsche,nelly
bugatti,ace hood featuring future & rick ross
somebody's heartbreak,hunter hayes
bad,wale featuring tiara thomas or rihanna
neva end,future
r.i.p.,young jeezy featuring 2 chainz
wicked games,the weeknd
can't hold us,macklemore & ryan lewis featuring ray dalton
pirate flag,kenny chesney
merry go 'round,kacey musgraves
i love it,icona pop featuring charli xcx
wagon wheel,darius rucker
if i didn't have you,thompson square
give it all we got tonight,george strait
alive,krewella
next to me,emeli sande
who booty,jonn hart featuring iamsu!
the only way i know,jason aldean with luke bryan & eric church
don't stop the party,pitbull featuring tjr
tip it on back,dierks bentley
don't judge me,chris brown
battle scars,lupe fiasco & guy sebastian
power trip,j. cole featuring miguel
remember you,wiz khalifa featuring the weeknd
we still in this b****,b.o.b featuring t.i. & juicy j
i can take it from there,chris young
stubborn love,the lumineers
cups (pitch perfect's when i'm gone),anna kendrick
like jesus does,eric church
dope,tyga featuring rick ross
ball,t.i. featuring lil wayne
little things,one direction
gold,britt nicole
love sosa,chief keef
as your friend,afrojack featuring chris brown
changed,rascal flatts
it's a beautiful day,michael buble
love and war,tamar braxton
va va voom,nicki minaj
mirrors,justin timberlake
more than miles,brantley gilbert
levitate,hadouken!
guap,big sean
